,index,Length,Processed_Text,labels
234,234,157,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recd thirtyeight penny,1
235,235,50,printed oh lt gt come upstairs,0
236,236,65,ill little closer like bus stop street,0
237,237,38,wil reach,0
238,238,145,new theory argument win situation loses person dont argue ur friend kick amp say always correct,0
239,239,145,u 447801259231 secret admirer looking 2 make contact u find r reveal think ur special call 09058094597,1
240,240,51,tomarrow final hearing laptop case cant,0
241,241,45,pleassssssseeeeee tel v avent done sportsx,0
242,242,83,okay shining meant signing sound better,0
243,243,155,although told u dat baig face watch really like e watch u gave co fr u thanx 4 everything dat u done today touched,0
244,244,37,u remember old commercial,0
245,245,78,late said website dont slipper,0
246,246,30,asked call ok,0
247,247,31,kallis wont bat 2nd inning,0
248,248,146,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,0
249,249,150,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16,1
250,250,44,ranjith cal drpd deeraj deepak 5min hold,0
251,251,179,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
252,252,27,,0
253,253,179,ups 3days also shipping company take 2wks way usps take week get lag may bribe nipost get stuff,0
254,254,38,back lem know ready,0
255,255,97,necessarily expect done get back though headin,0
256,256,43,mmm yummy babe nice jolt suzy,0
257,257,36,lover need,0
258,258,154,tried contact reply offer video handset 750 anytime network min unlimited text camcorder reply call 08000930705,1
259,259,74,parked next mini coming today think,0
260,260,3,yup,0
261,261,85,anyway going shopping co si done yet dun disturb u liao,0
262,262,51,luton 0125698789 ring ur around h,0
263,263,121,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,1
264,264,26,dint come u,0
265,265,35,wana plan trip sometme,0
266,266,47,sure yet still trying get hold,0
267,267,159,ur ringtone service changed 25 free credit go club4mobiles com choose content stop txt club stop 87070 150p wk club4 po box1146 mk45 2wt,1
268,268,47,evo download flash jealous,0
269,269,133,ringtone club get uk single chart mobile week choose top quality ringtone message free charge,1
270,270,53,come mu sorting narcotic situation,0
271,271,147,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay,0
272,272,155,hmv bonus special 500 pound genuine hmv voucher answer 4 easy question play send hmv 86688 info www 100percent real com,1
273,273,37,usf guess might well take 1 car,0
274,274,31,objection bf coming,0
275,275,8,thanx,0
276,276,38,tell rob mack gf theater,0
277,277,30,awesome see bit,0
278,278,47,sent type food like,0
279,279,56,done handed celebration full swing yet,0
280,280,22,got called tool,0
281,281,19,wen u miss someone,0
282,282,29,ok asked money far,0
283,283,7,okie,0
284,284,121,yeah think usual guy still passed last night get ahold anybody let know throw,0
285,285,58,k might come tonight class let early,0
286,286,4,ok,0
287,287,148,hi baby im cruisin girl friend r u 2 give call hour home thats alright fone fone love jenny xxx,0
288,288,160,life mean lot love life love people life world call friend call world ge,0
289,289,152,dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense,0
290,290,37,hey told name gautham ah,0
291,291,55,haf u found feel stupid da v cam working,0
292,292,21,oops 4 got bit,0
293,293,22,much buzy,0
294,294,50,accidentally deleted message resend please,0
295,295,159,mobile customer may claim free camera phone upgrade pay go sim card loyalty call 0845 021 3680 offer end 28thfeb c apply,1
296,296,67,unless situation go gurl would appropriate,0
297,297,153,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,0
298,298,51,cant pick phone right pls send message,0
299,299,67,need coffee run tomo believe time week already,0
300,300,88,awesome remember last time got somebody high first time diesel v,0
301,301,157,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,0
302,302,91,oh way food fridge want go meal tonight,0
303,303,24,womdarfull actor,0
304,304,146,sm ac blind date 4u rodds1 21 aberdeen united kingdom check http img sm ac w icmb3cktz8r7 4 blind date send hide,1
305,305,57,yup remb think book,0
306,306,26,jos ask u wana meet,0
307,307,71,lol yes friendship hanging thread cause u buy stuff,0
308,308,138,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap 82468,1
309,309,55,garage key bookshelf,0
310,310,156,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,0
311,311,134,think ur smart win 200 week weekly quiz text play 85222 c winnersclub po box 84 m26 3uz 16 gbp1 50 week,1
312,312,119,say give call friend got money definitely buying end week,0
313,313,142,hi way u 2day normal way real ur unique hope know u 4 rest mylife hope u find wot lost,0
314,314,41,made day great day,0
315,315,26,k k advance happy pongal,0
316,316,119,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,0
317,317,46,really dude friend afraid,0
318,318,157,december mobile 11mths entitled update latest colour camera mobile free call mobile update co free 08002986906,1
319,319,23,coffee cake guess,0
320,320,51,merry christmas babe love ya kiss,0
321,321,62,hey dont go watch x men lunch haha,0
322,322,107,cud u tell ppl im gona b bit l8 co 2 bus hav gon past co full im still waitin 4 1 pete x,0
323,323,157,would great guild could meet bristol road somewhere get touch weekend plan take flight good week,0
324,324,30,problem,0
325,325,32,call message missed call,0
326,326,31,hi da today class,0
327,327,79,say good sign well know track record reading woman,0
328,328,32,cool text parked,0
329,329,86,reading text sent meant joke read light,0
330,330,22,k k apo k good movie,0
331,331,76,maybe could get book tomo return immediately something,0
332,332,128,call germany 1 penny per minute call fixed line via access number 0844 861 85 85 prepayment direct access,1
333,333,232,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,0
334,334,159,valentine day special win 1000 quiz take partner trip lifetime send go 83600 150p msg rcvd custcare 08718720201,1
335,335,45,ta daaaaa home babe still,0
336,336,57,cool come havent wined dined,0
337,337,26,sleeping surfing,0
338,338,22,sorry call later,0
339,339,41,u calling right call hand phone,0
340,340,28,ok great thanx lot,0
341,341,151,take post come must 1000 text happy reading one wiv hello caroline end favourite bless,0
342,342,29,u hiding stranger,0
343,343,34,interested like,0
344,344,52,sister cleared two round birla soft yesterday,0
345,345,33,gudnite tc practice going,0
346,346,85,dis yijue jus saw ur mail case huiming havent sent u num dis num,0
347,347,31,one small prestige problem,0
348,348,111,fancy shag interested sextextuk com txt xxuk suzy 69876 txts cost 1 50 per msg tncs website x,1
349,349,78,checking really miss seeing jeremiah great month,0
350,350,50,nah help never iphone,0
351,351,63,car hour half going apeshit,0
352,352,148,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good,0
353,353,129,yo guy ever figure much need alcohol jay trying figure much safely spend weed,0
354,354,45,lt gt ish minute 5 minute ago wtf,0
355,355,202,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,0
356,356,150,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16,1
357,357,148,ur cash balance currently 500 pound maximize ur cash send cash 86688 150p msg cc 08708800282 hg suite342 2lands row w1j6hl,1
358,358,168,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,0
359,359,85,hello got st andrew boy long way cold keep posted,0
360,360,38,ha ha cool cool chikku chikku db,0
361,361,15,oh ok prob,0
362,362,31,check audrey status right,0
363,363,88,busy trying finish new year looking forward finally meeting,0
364,364,160,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always,0
365,365,50,well know z take care worry,0
366,366,165,xmas offer latest motorola sonyericsson nokia free bluetooth double min 1000 txt orange call mobileupd8 08000839402 call2optout f4q,1
367,367,129,discount code rp176781 stop message reply stop www regalportfolio co uk customer service 08717205546,1
368,368,26,wat uniform get,0
369,369,31,cool text ready,0
370,370,129,hello boytoy geeee miss already woke wish bed cuddling love,0
371,371,34,spoil bed well,0
372,372,54,going bath msg next lt gt min,0
373,373,162,cant keep talking people sure pay agree price pls tell want really buy much willing pay,0
374,374,157,thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer service 09057039994,1
375,375,23,say happen,0
376,376,53,could seen recognise face,0
377,377,131,well lot thing happening lindsay new year sigh bar ptbo blue heron something going,0
378,378,36,keep payasam rinu brings,0
379,379,143,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake,0
380,380,300,guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin,0
381,381,59,yeah sure give couple minute track wallet,0
382,382,42,hey leave big deal take care,0
383,383,41,hey late ah meet 945,0
384,384,149,double min txts 4 6months free bluetooth orange available sony nokia motorola phone call mobileupd8 08000839402 call2optout n9dx,1
385,385,22,took mr owl 3 lick,0
386,386,31,customer place call,0
387,387,30,mm time dont like fun,0
388,388,155,4mths half price orange line rental latest camera phone 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt,1
389,389,47,yup lunch buffet u eat already,0
390,390,25,huh late fr dinner,0
391,391,80,hey sat going intro pilate kickboxing,0
392,392,22,morning ok,0
393,393,115,yes think office lap room think thats last day didnt shut,0
394,394,56,pick bout 7 30ish time going,0
395,395,102,performance award calculated every two month current one month period,0
396,396,118,actually sleeping still might u call back text gr8 rock si send u text wen wake,0
397,397,221,always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated,0
398,398,204,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,0
399,399,114,hmmm k want change field quickly da wan na get system administrator network administrator,0
400,400,158,free ringtone text first 87131 poly text get 87131 true tone help 0845 2814032 16 1st free tone 150pw nd txt stop,1
401,401,39,dear chechi talk,0
402,402,36,hair cream shipped,0
403,403,48,none happening til get though,0
404,404,77,yep great loxahatchee xmas tree burning lt gt start hour,0
405,405,60,haha get used driving usf man know lot stoner,0
406,406,168,well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always,0
407,407,51,hello good week fancy drink something later,0
408,408,22,headin towards busetop,0
409,409,152,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com,0
410,410,75,come room point iron plan weekend,0
411,411,30,co want thing,0
412,412,95,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
413,413,24,bring home wendy,0
414,414,49,100 dating service cal l 09064012103 box334sk38ch,1
415,415,35,whatsup dont u want sleep,0
416,416,29,alright new goal,0
417,417,107,free entry 250 weekly competition text word win 80086 18 c www txttowin co uk,1
418,418,66,alright head minute text meet,0
419,419,159,send logo 2 ur lover 2 name joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,1
420,420,48,yes last week taking live call,0
421,421,162,someone contacted dating service entered phone fancy find call landline 09111032124 pobox12n146tf150p,1
422,422,24,siva hostel aha,0
423,423,137,urgent mobile number awarded 2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs,1
424,424,248,send ur friend receive something ur voice speaking expression 1 childish 2 naughty 3 sentiment 4 rowdy 5 ful attitude 6 romantic 7 shy 8 attractive 9 funny lt gt irritating lt gt lovable reply,0
425,425,25,ok ok guess,0
426,426,27,aathi dear,0
427,427,37,pain urination thing else,0
428,428,69,7 esplanade mind giving lift co got car today,0
429,429,150,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob,0
430,430,24,home watching tv lor,0
431,431,80,usually take fifteen fucking minute respond yes question,0
432,432,157,congrats nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3mins vary mobile 16 close 300603 post bcm4284 ldn wc1n3xx,1
433,433,25,booked ticket pongal,0
434,434,73,available like right around hillsborough amp lt gt th,0
435,435,89,message sent askin lt gt dollar shoul pay lt gt lt gt,0
436,436,58,ask g iouri told story like ten time already,0
437,437,36,long applebees fucking take,0
438,438,76,hi hope u get txt journey hasnt gd 50 min late think,0
439,439,47,like love arrange,0
440,440,104,yes really great bhaji told kallis best cricketer sachin world tough get,0
441,441,38,supposed wake gt,0
442,442,69,oic saw tot din c found group liao,0
443,443,22,sorry call later,0
444,444,66,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,0
445,445,94,sorry battery died come getting gram place,0
446,446,70,well done blimey exercise yeah kinda remember wot hmm,0
447,447,73,wont get concentration dear know mind everything,0
448,448,42,lol made plan new year,0
449,449,17,10 min later k,0
450,450,13,hank lotsly,0
451,451,45,thanks hope good day today,0
452,452,57,k k detail want transfer acc enough,0
453,453,105,ok tell stay yeah tough optimistic thing improve month,0
454,454,164,loan purpose 500 75 000 homeowner tenant welcome previously refused still help call free 0800 1956669 text back help,1
455,455,47,si si think ill go make oreo truffle,0
456,456,117,look amy ure beautiful intelligent woman like u lot know u like like worry,0
457,457,158,hope result consistently intelligent kind start asking practicum link keep ear open best ttyl,0
458,458,79,1 20 call cost guess isnt bad miss ya need ya want ya love ya,0
459,459,142,going thru different feeling wavering decision coping individual time heal everything believe,0
460,460,62,u go phone gon na die stay,0
461,461,71,great never better day give even reason thank god,0
462,462,175,upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 9153 offer end 26th july c apply opt available,1
463,463,29,sorry call later ok bye,0
464,464,29,ok way railway,0
465,465,148,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night,0
466,466,83,put stuff road keep getting slippery,0
467,467,37,going ride bike,0
468,468,44,yup need jus wait 4 e rain 2 stop,0
469,469,45,many company tell language,0
470,470,161,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award call 09061743806 landline tc sae box326 cw25wx 150ppm,1
471,471,50,long since screamed princess,0
472,472,298,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust 9ja person sending account detail co,0
473,473,159,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network txting moan 69888nyt ec2a 31p msg 150p,1
474,474,125,nice line said broken heart plz cum 1 time infront wise trust u good 9t,0
475,475,51,ok gon na head usf like fifteen minute,0
476,476,28,love aathi love u lot,0
477,477,34,tension ah machi problem,0
478,478,46,k pick another 8th done,0
479,479,81,guy getting back g said thinking staying mcr,0
480,480,28,almost see u sec,0
481,481,90,yo carlos friend already asking working weekend,0
482,482,18,watching tv lor,0
483,483,54,thank baby cant wait taste real thing,0
484,484,55,change fb jaykwon thuglyfe falconerf,0
485,485,45,win really 1 side long time,0
486,486,146,free message activate 500 free text message replying message word free term condition visit www 07781482378 com,1
487,487,40,dear reached railway happen,0
488,488,107,depends quality want type sent boye faded glory 6 want ralphs maybe 2,0
489,489,50,think fixed send test message,0
490,490,120,sorry man account dry would want could trade back half could buy shit credit card,0
